name,category,subcategory,address,city,country,latitude,longitude,accepts_dogs,accepts_cats,dogs_on_leash_only,outdoor_seating,water_bowl_provided,has_toilets,has_shade,has_dog_area,has_fuel,rating,description,verified,source
Bellingroth,aire_repos,autoroute,,,France,50.9799122,7.443193,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.9797337,2.0549798,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,3.8,Aire de repos.,TRUE,osm
Bellingroth,aire_repos,autoroute,,,France,50.9784341,7.4482705,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Hömeler Feld,aire_repos,autoroute,,,France,50.9762866,7.5035292,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Morkepütz,aire_repos,autoroute,,,France,50.9715759,7.5498958,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.9688852,4.31607,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,3.8,Aire de repos.,TRUE,osm
Hasbacher Höhe,aire_repos,autoroute,,,France,50.9658947,7.6923525,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Brüner Höhe,aire_repos,autoroute,,,France,50.9628125,7.8459074,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de Saint-Georges sur l'Aa,aire_repos,autoroute,,,France,50.9565087,2.1434602,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,3.8,Aire de repos.,TRUE,osm
Röttgesberg,aire_repos,autoroute,,,France,50.9520349,7.1998017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.9513177,5.7232534,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Großmicke,aire_repos,autoroute,,,France,50.9498188,7.8614771,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Lustheide - Nord,aire_repos,autoroute,,,France,50.9466826,7.1135667,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Lustheide,aire_repos,autoroute,,,France,50.946258,7.1135236,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Fuchsrain,aire_repos,autoroute,,,France,50.9450122,9.5310386,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Unterm Hipperich,aire_repos,autoroute,,,France,50.9443841,7.876459,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.9398602,6.9629253,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Am Pommer,aire_repos,autoroute,,,France,50.9397795,9.5408005,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Peutie,aire_repos,autoroute,,,France,50.9375127,4.4749459,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Peutie,aire_repos,autoroute,,,France,50.9370424,4.4762385,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,3.8,Aire de repos.,TRUE,osm
Löffelberg,aire_repos,autoroute,,,France,50.9336625,7.8827051,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire d'Offekerque,aire_repos,autoroute,,,France,50.9323391,2.0025286,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.9176877,9.0526555,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.9108881,8.9643842,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Kruishoutem Antwerpen - Frankrijk,aire_repos,autoroute,,,France,50.8960874,3.4748104,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,3.8,Aire de repos.,TRUE,osm
Kruisberg,aire_repos,autoroute,,,France,50.8960374,5.7507773,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,3.8,Aire de repos.,TRUE,osm
