name,category,subcategory,address,city,country,latitude,longitude,accepts_dogs,accepts_cats,dogs_on_leash_only,outdoor_seating,water_bowl_provided,rating,description,verified,source,opening_hours
Station A64 Hastingues,station_carburant,,A64 - Aire d'Hastingues,Hastingues,France,43.529,-1.152,true,false,true,false,false,,"⛽ Diesel, GPL, E10, SP98. 🚻 Toilettes  🛒 Boutique  🛒 Boutique  🍽️ Restauration. (40300 Hastingues)",true,prix_carburants_gouv,Ouvert 24h/24
Station BOULEVARD Nevers,station_carburant,,BOULEVARD SAINT EXUPERY,Nevers,France,47.004,3.164,true,false,true,false,false,,⛽ Carburant. 🔧 Gonflage  🔵 Gaz  💳 DAB. (58000 Nevers),true,prix_carburants_gouv,
Station 2 Autun,station_carburant,,2 ROUTE DE BEAUNE,Autun,France,46.956407,4.316348,true,false,true,false,false,,"⛽ Diesel, SP95, E85, SP98. 💳 CB 24h/24. (71400 Autun)",true,prix_carburants_gouv,Ouvert 24h/24
Station 18 Abbeville,station_carburant,,18 rue de menchecourt,Abbeville,France,50.117514,1.829243,true,false,true,false,false,,"⛽ Diesel, E85, E10, SP98. 🚻 Toilettes  🛒 Boutique  🛒 Boutique  🍽️ Restauration. (80100 Abbeville)",true,prix_carburants_gouv,
Station C. Larmor-Plage,station_carburant,,C. Commercial de Quelisoy,Larmor-Plage,France,47.728,-3.382,true,false,true,false,false,,"⛽ Diesel, SP95, SP98. 🛒 Boutique  🛒 Boutique  🔵 Gaz  💳 CB 24h/24. (56260 Larmor-Plage)",true,prix_carburants_gouv,Ouvert 24h/24
Station Croix-Denis Sancey,station_carburant,,Croix-Denis,Sancey,France,47.301796,6.569973,true,false,true,false,false,,"⛽ Diesel, E10. 💳 CB 24h/24. (25430 Sancey)",true,prix_carburants_gouv,Ouvert 24h/24
Station 44-50 Colombes,station_carburant,,44-50 BD DE VALMY,Colombes,France,48.926,2.253,true,false,true,false,false,,"⛽ Diesel, E10, SP98. 🚻 Toilettes  🛒 Boutique  🛒 Boutique  🔧 Gonflage. (92700 Colombes)",true,prix_carburants_gouv,"Lun 00.00-00.00, Mar 00.00-00.00, Mer 00.00-00.00"
Station 1 Les Ulis,station_carburant,,1 AV DE L OCEANIE ZAC COURTABOEU,Les Ulis,France,48.678,2.199,true,false,true,false,false,,"⛽ Diesel, E85, E10, SP98. 🛒 Boutique  🛒 Boutique  🚗 Lavage auto  🔵 Gaz. (91940 Les Ulis)",true,prix_carburants_gouv,Ouvert 24h/24
Station 32 Brou,station_carburant,,32 AVENUE GALLIENI,Brou,France,48.209,1.178,true,false,true,false,false,,"⛽ Diesel, E10, SP98. 🚻 Toilettes  🔧 Gonflage. (28160 Brou)",true,prix_carburants_gouv,
Station AUTOROUTE Dagneux,station_carburant,,AUTOROUTE A42 - AIRE DE LYON MONTUEL,Dagneux,France,45.847,5.074,true,false,true,false,false,,"⛽ Diesel, E85, E10, SP98. 🚻 Toilettes  🛒 Boutique  🛒 Boutique  🍽️ Restauration. (01120 Dagneux)",true,prix_carburants_gouv,
